IPGP,IPG Photonics,Information Technology,cap,Country,IPO,Year,Sector,Industry
IQV,IQVIA,Health Care,cap,Country,IPO,Year,Sector,Industry
IRM,Iron Mountain,Real Estate,cap,Country,IPO,Year,Sector,Industry
JBHT,J.B. Hunt,Industrials,cap,Country,IPO,Year,Sector,Industry
JKHY,Jack Henry & Associates,Information Technology,cap,Country,IPO,Year,Sector,Industry
J,Jacobs,Industrials,cap,Country,IPO,Year,Sector,Industry
JNJ,Johnson & Johnson,Health Care,cap,Country,IPO,Year,Sector,Industry
JCI,Johnson Controls,Industrials,cap,Country,IPO,Year,Sector,Industry
JPM,JPMorgan Chase,Financials,cap,Country,IPO,Year,Sector,Industry
JNPR,Juniper Networks,Information Technology,cap,Country,IPO,Year,Sector,Industry
K,Kellogg's,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
KEY,KeyCorp,Financials,cap,Country,IPO,Year,Sector,Industry
KEYS,Keysight,Information Technology,cap,Country,IPO,Year,Sector,Industry
KMB,Kimberly-Clark,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
KIM,Kimco Realty,Real Estate,cap,Country,IPO,Year,Sector,Industry
KMI,Kinder Morgan,Energy,cap,Country,IPO,Year,Sector,Industry
KLAC,KLA,Information Technology,cap,Country,IPO,Year,Sector,Industry
KHC,Kraft Heinz,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
KR,Kroger,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
LHX,L3Harris,Industrials,cap,Country,IPO,Year,Sector,Industry
LH,LabCorp,Health Care,cap,Country,IPO,Year,Sector,Industry
LRCX,Lam Research,Information Technology,cap,Country,IPO,Year,Sector,Industry
LW,Lamb Weston,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
LVS,Las Vegas Sands,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
LDOS,Leidos,Industrials,cap,Country,IPO,Year,Sector,Industry
LEN,Lennar,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
LLY,Lilly,Health Care,cap,Country,IPO,Year,Sector,Industry
LNC,Lincoln Financial,Financials,cap,Country,IPO,Year,Sector,Industry
LIN,Linde,Materials,cap,Country,IPO,Year,Sector,Industry
LYV,Live Nation Entertainment,Communication Services,cap,Country,IPO,Year,Sector,Industry
LKQ,LKQ Corporation,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
LMT,Lockheed Martin,Industrials,cap,Country,IPO,Year,Sector,Industry
L,Loews Corporation,Financials,cap,Country,IPO,Year,Sector,Industry
LOW,Lowe's,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
LUMN,Lumen,Communication Services,cap,Country,IPO,Year,Sector,Industry
LYB,LyondellBasell,Materials,cap,Country,IPO,Year,Sector,Industry
MTB,M&T Bank,Financials,cap,Country,IPO,Year,Sector,Industry
MRO,Marathon Oil,Energy,cap,Country,IPO,Year,Sector,Industry
MPC,Marathon Petroleum,Energy,cap,Country,IPO,Year,Sector,Industry
MKTX,MarketAxess,Financials,cap,Country,IPO,Year,Sector,Industry
MAR,Marriott International,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
MMC,Marsh & McLennan,Financials,cap,Country,IPO,Year,Sector,Industry
MLM,Martin Marietta,Materials,cap,Country,IPO,Year,Sector,Industry
MAS,Masco,Industrials,cap,Country,IPO,Year,Sector,Industry
MA,Mastercard,Information Technology,cap,Country,IPO,Year,Sector,Industry
MTCH,Match Group,Communication Services,cap,Country,IPO,Year,Sector,Industry
MKC,McCormick,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
MCD,McDonald's,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
MCK,McKesson,Health Care,cap,Country,IPO,Year,Sector,Industry
MDT,Medtronic,Health Care,cap,Country,IPO,Year,Sector,Industry
MRK,Merck,Health Care,cap,Country,IPO,Year,Sector,Industry
META,Meta,Communication Services,cap,Country,IPO,Year,Sector,Industry
MET,MetLife,Financials,cap,Country,IPO,Year,Sector,Industry
MTD,Mettler Toledo,Health Care,cap,Country,IPO,Year,Sector,Industry
MGM,MGM Resorts,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
MCHP,Microchip,Information Technology,cap,Country,IPO,Year,Sector,Industry
MU,Micron,Information Technology,cap,Country,IPO,Year,Sector,Industry
MSFT,Microsoft,Information Technology,cap,Country,IPO,Year,Sector,Industry
MAA,Mid-America Apartments,Real Estate,cap,Country,IPO,Year,Sector,Industry
MRNA,Moderna,Health Care,cap,Country,IPO,Year,Sector,Industry
MHK,Mohawk Industries,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
MOH,Molina Healthcare,Health Care,cap,Country,IPO,Year,Sector,Industry
TAP,Molson Coors,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
MDLZ,Mondelez International,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
MPWR,Monolithic Power Systems,Information Technology,cap,Country,IPO,Year,Sector,Industry
MNST,Monster Beverage,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
MCO,Moody's,Financials,cap,Country,IPO,Year,Sector,Industry
MS,Morgan Stanley,Financials,cap,Country,IPO,Year,Sector,Industry
MOS,Mosaic,Materials,cap,Country,IPO,Year,Sector,Industry
MSI,Motorola Solutions,Information Technology,cap,Country,IPO,Year,Sector,Industry
MSCI,MSCI,Financials,cap,Country,IPO,Year,Sector,Industry
NDAQ,Nasdaq,Financials,cap,Country,IPO,Year,Sector,Industry
NTAP,NetApp,Information Technology,cap,Country,IPO,Year,Sector,Industry
NFLX,Netflix,Communication Services,cap,Country,IPO,Year,Sector,Industry
NWL,Newell Brands,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
NEM,Newmont,Materials,cap,Country,IPO,Year,Sector,Industry
NWSA,News Corp (Class A),Communication Services,cap,Country,IPO,Year,Sector,Industry
NWS,News Corp (Class B),Communication Services,cap,Country,IPO,Year,Sector,Industry
NEE,NextEra Energy,Utilities,cap,Country,IPO,Year,Sector,Industry
NLSN,Nielsen,Industrials,cap,Country,IPO,Year,Sector,Industry
NKE,Nike,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
NI,NiSource,Utilities,cap,Country,IPO,Year,Sector,Industry
NDSN,Nordson,Industrials,cap,Country,IPO,Year,Sector,Industry
NSC,Norfolk Southern,Industrials,cap,Country,IPO,Year,Sector,Industry
NTRS,Northern Trust,Financials,cap,Country,IPO,Year,Sector,Industry
NOC,Northrop Grumman,Industrials,cap,Country,IPO,Year,Sector,Industry
NLOK,NortonLifeLock,Information Technology,cap,Country,IPO,Year,Sector,Industry
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
NRG,NRG Energy,Utilities,cap,Country,IPO,Year,Sector,Industry
NUE,Nucor,Materials,cap,Country,IPO,Year,Sector,Industry
NVDA,Nvidia,Information Technology,cap,Country,IPO,Year,Sector,Industry
NVR,NVR,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
NXPI,NXP,Information Technology,cap,Country,IPO,Year,Sector,Industry
ORLY,O'Reilly Automotive,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
OXY,Occidental Petroleum,Energy,cap,Country,IPO,Year,Sector,Industry
ODFL,Old Dominion,Industrials,cap,Country,IPO,Year,Sector,Industry
OMC,Omnicom Group,Communication Services,cap,Country,IPO,Year,Sector,Industry
OKE,Oneok,Energy,cap,Country,IPO,Year,Sector,Industry
ORCL,Oracle,Information Technology,cap,Country,IPO,Year,Sector,Industry
OGN,Organon,Health Care,cap,Country,IPO,Year,Sector,Industry
OTIS,Otis,Industrials,cap,Country,IPO,Year,Sector,Industry
PCAR,Paccar,Industrials,cap,Country,IPO,Year,Sector,Industry
PKG,Packaging Corporation of America,Materials,cap,Country,IPO,Year,Sector,Industry
PARA,Paramount,Communication Services,cap,Country,IPO,Year,Sector,Industry
PH,Parker,Industrials,cap,Country,IPO,Year,Sector,Industry
PAYX,Paychex,Information Technology,cap,Country,IPO,Year,Sector,Industry
PAYC,Paycom,Information Technology,cap,Country,IPO,Year,Sector,Industry
PYPL,PayPal,Information Technology,cap,Country,IPO,Year,Sector,Industry
PENN,Penn National Gaming,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
PNR,Pentair,Industrials,cap,Country,IPO,Year,Sector,Industry
PEP,PepsiCo,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
PKI,PerkinElmer,Health Care,cap,Country,IPO,Year,Sector,Industry
PFE,Pfizer,Health Care,cap,Country,IPO,Year,Sector,Industry
PM,Philip Morris International,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
PSX,Phillips 66,Energy,cap,Country,IPO,Year,Sector,Industry
